,Date,Open,High,Low,Close,Adj Close,Volume,rsi,crossAbove30,lookback10
120,6/5/1981,0.566964,0.566964,0.564732,0.564732,0.44852200000000003,14420000,60.506936711097886,0,0
121,6/8/1981,0.546875,0.546875,0.544643,0.544643,0.432566,23374400,59.20006867028521,0,0
122,6/9/1981,0.555804,0.558036,0.555804,0.555804,0.44143000000000004,29898400,58.62301021164156,0,0
123,6/10/1981,0.5625,0.569196,0.5625,0.5625,0.44674899999999995,6305600,57.56320193788058,0,0
124,6/11/1981,0.587054,0.589286,0.587054,0.587054,0.46625,9744000,58.463437388636706,0,0
125,6/12/1981,0.582589,0.582589,0.580357,0.580357,0.46093100000000004,6451200,59.26993061370155,0,0
126,6/15/1981,0.580357,0.580357,0.578125,0.578125,0.459158,35940800,60.7026630642286,0,0
127,6/16/1981,0.569196,0.569196,0.566964,0.566964,0.45029399999999997,9312800,60.69345767911695,0,0
128,6/17/1981,0.560268,0.560268,0.558036,0.558036,0.44320299999999996,6893600,61.002058506187765,0,0
129,6/18/1981,0.558036,0.560268,0.555804,0.555804,0.44143000000000004,5762400,62.372937142871365,0,0
130,6/19/1981,0.542411,0.542411,0.540179,0.540179,0.429021,6876800,61.43006679309374,0,0
131,6/22/1981,0.522321,0.522321,0.520089,0.520089,0.41306499999999996,2710400,59.787651958675255,0,0
132,6/23/1981,0.529018,0.533482,0.529018,0.529018,0.42015699999999995,3757600,59.05120006628168,0,0
133,6/24/1981,0.520089,0.520089,0.515625,0.515625,0.40952,5756800,58.590081364790436,0,0
134,6/25/1981,0.526786,0.529018,0.526786,0.526786,0.41838400000000003,6064800,58.15649120897984,0,0
135,6/26/1981,0.524554,0.524554,0.520089,0.520089,0.41306499999999996,5947200,58.815223245482,0,0
136,6/29/1981,0.506696,0.506696,0.502232,0.502232,0.398883,2648800,57.57033618148942,0,0
137,6/30/1981,0.46651800000000004,0.46651800000000004,0.464286,0.464286,0.368745,8976800,53.32365522906658,0,0
138,7/1/1981,0.462054,0.462054,0.459821,0.459821,0.365199,42616000,54.432944255264836,0,0
139,7/2/1981,0.459821,0.462054,0.459821,0.459821,0.365199,7571200,54.432944255264836,0,0
140,7/6/1981,0.448661,0.448661,0.444196,0.444196,0.35279,4132800,53.67069799163203,0,0
141,7/7/1981,0.448661,0.453125,0.448661,0.448661,0.356335,3959200,52.49716573263327,0,0
142,7/8/1981,0.46651800000000004,0.46875,0.46651800000000004,0.46651800000000004,0.37051799999999996,4155200,53.33094079131004,0,0
143,7/9/1981,0.433036,0.433036,0.430804,0.430804,0.34215300000000004,8220800,49.78240201398515,0,0
144,7/10/1981,0.399554,0.399554,0.397321,0.397321,0.31556100000000004,13792800,46.82005086449477,0,0
145,7/13/1981,0.40625,0.408482,0.40625,0.40625,0.322652,11435200,46.47297998221132,0,0
146,7/14/1981,0.42410699999999996,0.428571,0.42410699999999996,0.42410699999999996,0.336834,4944800,47.51645406367712,0,0
147,7/15/1981,0.43526800000000004,0.4375,0.43526800000000004,0.43526800000000004,0.345699,2738400,47.37019415868054,0,0
148,7/16/1981,0.446429,0.45089300000000004,0.446429,0.446429,0.354562,3808000,47.19085920184921,0,0
149,7/17/1981,0.462054,0.464286,0.462054,0.462054,0.36697199999999996,4956000,47.60948697305975,0,0
150,7/20/1981,0.433036,0.433036,0.430804,0.430804,0.34215300000000004,5913600,45.668022406915554,0,0
151,7/21/1981,0.430804,0.430804,0.428571,0.428571,0.34038,7985600,47.22326431731427,0,0
152,7/22/1981,0.408482,0.408482,0.404018,0.404018,0.32087899999999997,5667200,45.87159025750395,0,0
153,7/23/1981,0.415179,0.417411,0.415179,0.415179,0.329743,8612800,45.80068872938136,0,0
154,7/24/1981,0.428571,0.430804,0.428571,0.428571,0.34038,7212800,46.02027812140387,0,0
155,7/27/1981,0.446429,0.448661,0.446429,0.446429,0.354562,4334400,46.78889778954504,0,0
156,7/28/1981,0.433036,0.433036,0.430804,0.430804,0.34215300000000004,5712000,46.73416604087532,0,0
157,7/29/1981,0.426339,0.426339,0.42410699999999996,0.42410699999999996,0.336834,3875200,47.720285927439306,0,0
158,7/30/1981,0.43973199999999996,0.444196,0.43973199999999996,0.43973199999999996,0.349244,2475200,48.134150859456305,0,0
159,7/31/1981,0.446429,0.448661,0.446429,0.446429,0.354562,2738400,47.230011315972405,0,0
160,8/3/1981,0.446429,0.446429,0.441964,0.441964,0.351017,3108000,48.49925270606735,0,0
161,8/4/1981,0.448661,0.45089300000000004,0.448661,0.448661,0.356335,7918400,47.62388355664549,0,0
162,8/5/1981,0.462054,0.464286,0.462054,0.462054,0.36697199999999996,4373600,47.72372773831147,0,0
163,8/6/1981,0.453125,0.453125,0.45089300000000004,0.45089300000000004,0.358108,2632000,48.12435385428669,0,0
164,8/7/1981,0.45089300000000004,0.453125,0.45089300000000004,0.45089300000000004,0.358108,2301600,48.12435385428669,0,0
165,8/10/1981,0.45089300000000004,0.453125,0.45089300000000004,0.45089300000000004,0.358108,2301600,48.12435385428669,0,0
166,8/11/1981,0.441964,0.441964,0.4375,0.4375,0.34747100000000003,17864000,48.17607245293919,0,0
167,8/12/1981,0.430804,0.430804,0.428571,0.428571,0.34038,6568800,48.77455485443863,0,0
168,8/13/1981,0.417411,0.417411,0.415179,0.415179,0.329743,6871200,48.68806956972964,0,0
169,8/14/1981,0.412946,0.412946,0.408482,0.408482,0.324425,6048000,49.52436663240566,0,0
170,8/17/1981,0.399554,0.399554,0.39508899999999997,0.39508899999999997,0.313788,4726400,49.28692643157284,0,0
171,8/18/1981,0.390625,0.390625,0.38616100000000003,0.38616100000000003,0.306697,4250400,49.69385237960001,0,0
172,8/19/1981,0.38616100000000003,0.38616100000000003,0.381696,0.381696,0.303151,5168800,50.78423773337608,0,0
173,8/20/1981,0.38616100000000003,0.388393,0.38616100000000003,0.38616100000000003,0.306697,4278400,49.71198506541538,0,0
174,8/21/1981,0.36383899999999997,0.36383899999999997,0.359375,0.359375,0.285423,10477600,47.1346828273209,0,0
175,8/24/1981,0.33928600000000003,0.33928600000000003,0.337054,0.337054,0.26769499999999996,5768000,45.35850765842517,0,0
176,8/25/1981,0.345982,0.34821399999999997,0.345982,0.345982,0.27478600000000003,10175200,45.31308302178445,0,0
177,8/26/1981,0.341518,0.341518,0.33928600000000003,0.33928600000000003,0.269467,8400000,46.04868328124188,0,0
178,8/27/1981,0.341518,0.34375,0.341518,0.341518,0.27124000000000004,6479200,44.67004248209851,0,0
179,8/28/1981,0.359375,0.361607,0.359375,0.359375,0.285423,9508800,46.4423973626802,0,0
180,8/31/1981,0.359375,0.361607,0.359375,0.359375,0.285423,10236800,46.4423973626802,0,0
181,9/1/1981,0.381696,0.383929,0.381696,0.381696,0.303151,9256800,48.579564523432836,0,0
182,9/2/1981,0.388393,0.390625,0.388393,0.388393,0.30846999999999997,4844000,47.826694248984914,0,0
183,9/3/1981,0.372768,0.372768,0.368304,0.368304,0.292514,9368800,46.734759160763225,0,0
184,9/4/1981,0.366071,0.366071,0.36383899999999997,0.36383899999999997,0.28896900000000003,3813600,47.892095377366346,0,0
185,9/8/1981,0.35491100000000003,0.35491100000000003,0.352679,0.352679,0.280104,6361600,47.950180800759405,0,0
186,9/9/1981,0.352679,0.35491100000000003,0.352679,0.352679,0.280104,7632800,47.950180800759405,0,0
187,9/10/1981,0.35491100000000003,0.357143,0.35491100000000003,0.35491100000000003,0.281877,8702400,46.516201039239206,0,0
188,9/11/1981,0.352679,0.352679,0.350446,0.350446,0.278332,4384800,47.612038861813055,0,0
189,9/14/1981,0.341518,0.341518,0.33928600000000003,0.33928600000000003,0.269467,6921600,47.519501819020334,0,0
190,9/15/1981,0.33258899999999997,0.33258899999999997,0.330357,0.330357,0.262376,4877600,47.75944151278675,0,0
191,9/16/1981,0.325893,0.325893,0.32366100000000003,0.32366100000000003,0.257058,4838400,48.34856907945849,0,0
192,9/17/1981,0.31696399999999997,0.31696399999999997,0.314732,0.314732,0.249967,4844000,48.458617487393,0,0
193,9/18/1981,0.31696399999999997,0.319196,0.31696399999999997,0.31696399999999997,0.25174,6580000,47.09957865683938,0,0
194,9/21/1981,0.319196,0.321429,0.319196,0.319196,0.253512,12258400,45.76795848499546,0,0
195,9/22/1981,0.303571,0.303571,0.30133899999999997,0.30133899999999997,0.23933000000000001,11855200,44.20697352997803,0,0
196,9/23/1981,0.299107,0.299107,0.294643,0.294643,0.23401100000000002,7050400,44.71845847311478,0,0
197,9/24/1981,0.294643,0.294643,0.29241100000000003,0.29241100000000003,0.232238,4575200,46.08668136334117,0,0
198,9/25/1981,0.258929,0.258929,0.25446399999999997,0.25446399999999997,0.202101,8652000,40.624540862006214,0,0
199,9/28/1981,0.256696,0.258929,0.256696,0.256696,0.203874,22932000,39.49242549805392,0,0
200,9/29/1981,0.27008899999999997,0.272321,0.27008899999999997,0.27008899999999997,0.21450999999999998,23671200,41.49639610242999,0,0
201,9/30/1981,0.272321,0.274554,0.272321,0.272321,0.216283,12499200,40.298064294021614,0,0
202,10/1/1981,0.272321,0.274554,0.272321,0.272321,0.216283,15282400,40.298064294021614,0,0
203,10/2/1981,0.294643,0.296875,0.294643,0.294643,0.23401100000000002,11261600,44.10182010963843,0,0
204,10/5/1981,0.303571,0.30803600000000003,0.303571,0.303571,0.241103,10774400,44.21452228988201,0,0
205,10/6/1981,0.303571,0.303571,0.30133899999999997,0.30133899999999997,0.23933000000000001,7089600,45.66338885828455,0,0
206,10/7/1981,0.319196,0.32366100000000003,0.319196,0.319196,0.253512,9710400,47.497740754230676,0,0
207,10/8/1981,0.330357,0.33258899999999997,0.330357,0.330357,0.262376,7772800,47.73754840460896,0,0
